Make,Model,Broad.phase.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Event.Year
Cessna,401B,Landing,0.0,0.0,0.0,2.0,1982
Cessna,414A,Approach,8.0,0.0,0.0,0.0,1982
Cessna,206,Taxi,1.0,0.0,1.0,0.0,1982
Navion,A,Cruise,3.0,0.0,0.0,0.0,1982
Rockwell,114,Cruise,0.0,0.0,0.0,1.0,1982
Piper,PA-24-250,Descent,0.0,1.0,0.0,1.0,1982
Aerospatiale,SA-316B,Taxi,0.0,0.0,0.0,6.0,1982
Mooney,M-20J,Takeoff,0.0,0.0,0.0,2.0,1982
Cessna,TU206G,Landing,0.0,0.0,0.0,1.0,1982
Beech,C23,Descent,0.0,2.0,2.0,0.0,1982
Cessna,180K,Takeoff,0.0,0.0,0.0,1.0,1982
Mooney,M20F,Takeoff,1.0,0.0,0.0,0.0,1982
Cessna,177B,Cruise,1.0,2.0,0.0,0.0,1982
Cessna,340A,Cruise,0.0,0.0,0.0,2.0,1982
Piper,PA-23-250,Approach,1.0,0.0,0.0,0.0,1982
Cessna,177,Descent,0.0,0.0,0.0,1.0,1982
Bellanca,7GCBC,Takeoff,0.0,0.0,0.0,1.0,1982
Mooney,M20C,Landing,0.0,0.0,0.0,1.0,1982
Cessna,A185F,Takeoff,0.0,0.0,0.0,2.0,1982
Piper,PA-32-260,Approach,0.0,0.0,0.0,2.0,1982
Beech,36,Cruise,0.0,1.0,0.0,1.0,1982
Cessna,U206G,Landing,0.0,0.0,0.0,1.0,1982
Cessna,T210N,Landing,0.0,0.0,0.0,1.0,1982
Mitsubishi,MU2B-40,Landing,0.0,0.0,6.0,0.0,1982
Cessna,177RG,Taxi,0.0,0.0,0.0,2.0,1982
Piper,PA-18A-150,Takeoff,1.0,0.0,0.0,0.0,1982
Cessna,310R,Takeoff,0.0,0.0,0.0,2.0,1982
Cessna,402B,Go-around,0.0,0.0,0.0,1.0,1982
Beech,95-C55,Cruise,2.0,0.0,0.0,0.0,1982
Cessna,421B,Landing,0.0,0.0,0.0,2.0,1982
Cessna,401,Cruise,0.0,0.0,0.0,5.0,1982
Piper,PA-28-151,Descent,0.0,0.0,0.0,1.0,1982
Beech,35,Approach,0.0,0.0,0.0,1.0,1982
Piper,PA-31T2,Approach,8.0,0.0,0.0,0.0,1982
Piper,PA-28RT-201T,Descent,0.0,1.0,0.0,0.0,1982
Cessna,210,Approach,0.0,0.0,2.0,0.0,1982
Cessna,A185F,Taxi,0.0,0.0,0.0,2.0,1982
Piper,PA-60/601P,Landing,0.0,0.0,0.0,3.0,1982
Beech,BE-95-C55,Takeoff,1.0,0.0,0.0,0.0,1982
Robinson,R22,Cruise,1.0,0.0,0.0,0.0,1982
Cessna,T210M,Landing,0.0,0.0,0.0,2.0,1982
Piper,PA-28-161,Taxi,0.0,0.0,0.0,2.0,1982
Bell,206B III,Cruise,0.0,0.0,0.0,2.0,1982
Cessna,172RG,Takeoff,0.0,0.0,0.0,2.0,1982
Cessna,P210N,Landing,0.0,0.0,4.0,0.0,1982
Cessna,310K,Landing,0.0,0.0,0.0,1.0,1982
Piper,PA-30,Approach,0.0,0.0,0.0,2.0,1982
Cessna,182L,Cruise,0.0,2.0,0.0,0.0,1982
Piper,PA-28-181,Takeoff,0.0,0.0,0.0,2.0,1982
Beech,V35B,Maneuvering,0.0,0.0,0.0,1.0,1982
Cessna,210D,Cruise,1.0,1.0,0.0,0.0,1982
Varga,2150A,Takeoff,0.0,0.0,2.0,0.0,1982
Cessna,U-206,Takeoff,0.0,0.0,0.0,3.0,1982
Piper,PA-34-200,Landing,0.0,0.0,0.0,3.0,1982
Cessna,501,Landing,0.0,0.0,0.0,2.0,1982
Beech,A36TC,Approach,0.0,0.0,0.0,2.0,1982
Cessna,182,Cruise,0.0,0.0,0.0,1.0,1982
Beech,58,Cruise,1.0,0.0,0.0,0.0,1982
Piper,PA-28RT-201,Descent,0.0,0.0,0.0,2.0,1982
Piper,PA-38-112,Cruise,0.0,0.0,1.0,0.0,1982
Cessna,421,Approach,1.0,2.0,0.0,0.0,1982
Mooney,M20F,Takeoff,0.0,0.0,1.0,1.0,1982
Cessna,210,Landing,0.0,0.0,0.0,1.0,1982
Cessna,172,Maneuvering,0.0,0.0,0.0,1.0,1982
Rockwell,690A,Approach,0.0,0.0,0.0,3.0,1982
Piper,PA-28-140,Cruise,1.0,0.0,0.0,0.0,1982
Piper,PA-30,Landing,0.0,0.0,0.0,1.0,1982
Cessna,T182RG,Landing,0.0,0.0,0.0,3.0,1982
Piper,PA-28-235,Takeoff,0.0,0.0,1.0,0.0,1982
Beech,95-B55,Landing,0.0,0.0,0.0,2.0,1982
Cessna,T210N,Cruise,0.0,0.0,0.0,5.0,1982
Piper,PA-32R,Cruise,0.0,2.0,0.0,0.0,1982
Cessna,A185E,Takeoff,2.0,0.0,0.0,0.0,1982
Cessna,205,Taxi,0.0,0.0,1.0,0.0,1982
Beech,D55,Takeoff,0.0,0.0,0.0,2.0,1982
Beech,B35,Takeoff,3.0,1.0,0.0,0.0,1982
Cessna,172,Taxi,0.0,0.0,0.0,1.0,1982
Cessna,182RG,Takeoff,0.0,0.0,0.0,2.0,1982
Piper,PA-28-180,Approach,1.0,0.0,0.0,0.0,1982
Piper,PA-44-180,Landing,0.0,1.0,1.0,0.0,1982
Piper,PA-28R-201T,Landing,0.0,0.0,0.0,1.0,1982
Beech,E55,Climb,2.0,0.0,0.0,0.0,1982
Cessna,310,Landing,0.0,0.0,0.0,2.0,1982
Beech,65-A90,Landing,0.0,0.0,0.0,2.0,1982
Piper,PA-28-181,Cruise,0.0,0.0,0.0,2.0,1982
Mooney,M20F,Landing,0.0,0.0,0.0,2.0,1982
Piper,PA-32R-300,Takeoff,3.0,1.0,0.0,0.0,1982
Cessna,182A,Cruise,0.0,0.0,0.0,1.0,1982
Bell,222,Cruise,3.0,0.0,0.0,0.0,1982
Mooney,M20J,Cruise,3.0,0.0,0.0,0.0,1982
Maule,M-5-210C,Approach,0.0,0.0,0.0,2.0,1982
Beech,S-35,Standing,0.0,0.0,0.0,1.0,1982
Beech,B95,Maneuvering,1.0,0.0,0.0,0.0,1982
Beech,A36TC,Unknown,3.0,0.0,0.0,0.0,1982
Cessna,182P,Landing,0.0,0.0,0.0,1.0,1982
Cessna,421C,Landing,0.0,2.0,1.0,0.0,1982
Piper,PA-23-250T,Landing,0.0,0.0,0.0,1.0,1982
Hughes,369D,Cruise,0.0,1.0,2.0,0.0,1982
Bellanca,7GCBC,Landing,0.0,0.0,0.0,2.0,1982
Cessna,152,Climb,0.0,0.0,1.0,1.0,1982
Piper,PA-23,Takeoff,0.0,0.0,0.0,1.0,1982
Piper,PA-31-350,Takeoff,0.0,0.0,0.0,1.0,1982
Cessna,172N,Taxi,0.0,0.0,0.0,1.0,1982
Cessna,182M,Taxi,0.0,0.0,0.0,2.0,1982
Continental,TOMCAT MK6C,Maneuvering,1.0,0.0,0.0,0.0,1982
Cessna,207,Maneuvering,1.0,1.0,0.0,0.0,1982
Gates Learjet,23,Descent,4.0,0.0,0.0,0.0,1982
Cessna,182P,Descent,0.0,0.0,1.0,1.0,1982
Piper,PA-28R-180,Cruise,0.0,1.0,1.0,0.0,1982
Bellanca,17-31ATC,Takeoff,0.0,0.0,0.0,2.0,1982
Piper,PA-28-161,Cruise,4.0,0.0,0.0,0.0,1982
Gates Learjet,24B,Climb,0.0,0.0,0.0,3.0,1982
Cessna,T210N,Cruise,0.0,1.0,4.0,0.0,1982
Piper,18,Maneuvering,1.0,1.0,0.0,0.0,1982
Cessna,A185F,Landing,0.0,0.0,0.0,1.0,1982
Cessna,T210N,Cruise,0.0,0.0,0.0,1.0,1982
Piper,P-60-601P,Takeoff,1.0,1.0,0.0,0.0,1982
Cessna,T210L,Standing,0.0,0.0,0.0,1.0,1982
Cessna,T210M,Cruise,2.0,0.0,0.0,0.0,1982
Cessna,182,Landing,0.0,0.0,0.0,3.0,1982
Cessna,150,Landing,0.0,0.0,0.0,1.0,1982
Cessna,206,Landing,0.0,0.0,0.0,1.0,1982
Cessna,310R,Landing,0.0,0.0,0.0,2.0,1982
Beech,58,Landing,0.0,0.0,0.0,1.0,1982
Bell,206B,Cruise,3.0,0.0,0.0,0.0,1982
Piper,PA-34,Taxi,0.0,0.0,0.0,5.0,1982
Kaman,K600-3,Cruise,0.0,0.0,0.0,1.0,1982
Piper,PA-38,Cruise,0.0,0.0,0.0,2.0,1982
Piper,PA-34-200T,Landing,0.0,0.0,0.0,1.0,1982
Cessna,182P,Takeoff,0.0,1.0,0.0,0.0,1982
Cessna,182K,Descent,0.0,0.0,0.0,1.0,1982
Enstrom,280,Cruise,0.0,1.0,1.0,0.0,1982
Cessna,A185E,Landing,0.0,0.0,0.0,1.0,1982
Beech,C23,Takeoff,0.0,0.0,0.0,3.0,1982
Cessna,500,Standing,0.0,1.0,0.0,1.0,1982
Piper,PA-38-112,Landing,0.0,0.0,0.0,2.0,1982
Cessna,402B,Landing,0.0,0.0,0.0,3.0,1982
Aerospatiale,341G,Takeoff,0.0,0.0,0.0,5.0,1982
Cessna,206-5,Cruise,0.0,0.0,0.0,3.0,1982
Lake,LA-4-200,Takeoff,0.0,1.0,1.0,1.0,1982
Mooney,M-20,Cruise,1.0,0.0,0.0,0.0,1982
Piper,PA-32R-301,Cruise,3.0,0.0,0.0,0.0,1982
Cessna,421,Approach,0.0,0.0,0.0,2.0,1982
Piper,PA-32,Takeoff,2.0,0.0,0.0,0.0,1982
Cessna,310,Cruise,0.0,0.0,0.0,1.0,1982
Brantly,B-2B,Cruise,0.0,0.0,0.0,1.0,1982
Beech,95-C55,Descent,0.0,2.0,0.0,0.0,1982
Cessna,182,Go-around,0.0,1.0,1.0,1.0,1982
Bellanca,17-30,Cruise,0.0,2.0,1.0,0.0,1982
Piper,PA-32-260,Takeoff,1.0,2.0,0.0,0.0,1982
Cessna,172N,Standing,0.0,0.0,0.0,2.0,1982
Cessna,185,Climb,0.0,0.0,0.0,1.0,1982
Cessna,310Q,Maneuvering,0.0,0.0,0.0,1.0,1982
Beech,V35,Cruise,0.0,0.0,0.0,1.0,1982
Cessna,180J,Takeoff,0.0,0.0,0.0,1.0,1982
Beech,95-A55,Landing,0.0,0.0,1.0,0.0,1982
Cessna,A185F,Landing,0.0,0.0,0.0,1.0,1982
Piper,PA-24-250,Cruise,1.0,0.0,0.0,0.0,1982
Cessna,T-210L,Cruise,1.0,0.0,0.0,0.0,1982
Cessna,172M,Climb,3.0,0.0,0.0,0.0,1982
Cessna,172N,Takeoff,4.0,0.0,0.0,0.0,1982
Beech,95-A55,Takeoff,0.0,0.0,0.0,2.0,1982
Beech,J35,Taxi,0.0,0.0,0.0,1.0,1982
Piper,28-140,Takeoff,1.0,1.0,0.0,0.0,1982
Piper,PA-601P,Cruise,2.0,0.0,0.0,0.0,1982
Piper,PA-38,Takeoff,0.0,0.0,0.0,2.0,1982
Beech,B-60,Takeoff,0.0,0.0,1.0,0.0,1982
Piper,PA-23C-250,Climb,0.0,0.0,2.0,0.0,1982
Piper,PA-28-140,Landing,0.0,0.0,1.0,2.0,1982
Cessna,R182,Cruise,0.0,0.0,0.0,2.0,1982
Cessna,172,Cruise,0.0,0.0,1.0,0.0,1982
Cessna,T210M,Maneuvering,2.0,0.0,0.0,0.0,1982
Maule,M-5-210C,Takeoff,0.0,0.0,0.0,4.0,1982
Cessna,210L,Approach,0.0,0.0,2.0,0.0,1982
Cessna,421B,Cruise,0.0,0.0,0.0,1.0,1982
Cessna,182M,Landing,0.0,0.0,0.0,1.0,1982
Cessna,180,Takeoff,0.0,0.0,3.0,0.0,1982
Cessna,T337C,Landing,0.0,0.0,0.0,1.0,1982
Cessna,210,Climb,0.0,0.0,0.0,1.0,1982
Mitsubishi,MU-2B-25,Climb,0.0,0.0,0.0,2.0,1982
Piper,PA-23-250,Cruise,1.0,0.0,0.0,0.0,1982
Mooney,M20J,Landing,0.0,0.0,0.0,4.0,1982
Cessna,421C,Landing,0.0,0.0,0.0,1.0,1982
Piper,PA-18,Landing,0.0,0.0,0.0,1.0,1982
Piper,PA32-300,Climb,1.0,0.0,0.0,0.0,1982
Cessna,337D,Landing,0.0,0.0,0.0,1.0,1982
Beech,58,Landing,0.0,0.0,0.0,5.0,1982
Cessna,421B,Descent,0.0,0.0,1.0,0.0,1982
Cessna,336,Landing,0.0,0.0,0.0,1.0,1982
Enstrom,F-28F,Takeoff,0.0,0.0,3.0,0.0,1982
Mitsubishi,MU-2B-20,Approach,0.0,0.0,0.0,1.0,1982
Cessna,A185F,Landing,0.0,0.0,0.0,3.0,1982
Cessna,185,Maneuvering,0.0,1.0,0.0,1.0,1982
Bell,206L-1,Cruise,0.0,0.0,0.0,2.0,1982
Bell,47G-2A,Taxi,0.0,0.0,0.0,1.0,1982
Mooney,M-20F,Landing,0.0,0.0,1.0,3.0,1982
Piper,PA-28R,Cruise,3.0,0.0,0.0,0.0,1982
Bellanca,17-30A,Landing,0.0,0.0,0.0,3.0,1982
Piper,PA-34,Taxi,0.0,0.0,0.0,1.0,1982
Cessna,TU206,Landing,0.0,0.0,0.0,3.0,1982
Piper,PA-28-161,Standing,0.0,0.0,0.0,2.0,1982
Cessna,177,Landing,0.0,0.0,1.0,2.0,1982
Cessna,T310R,Approach,2.0,0.0,0.0,0.0,1982
Bell,206L,Landing,0.0,0.0,0.0,1.0,1982
Piper,PA-28-235,Takeoff,1.0,0.0,0.0,0.0,1982
Cessna,U206F,Landing,0.0,0.0,0.0,1.0,1982
Cessna,180,Landing,0.0,0.0,0.0,2.0,1982
De Havilland,DHC-3,Cruise,0.0,0.0,0.0,3.0,1982
Beech,95-C55,Approach,0.0,0.0,0.0,2.0,1982
Beech,95-B55,Landing,0.0,0.0,0.0,1.0,1982
Maule,M-5,Takeoff,0.0,0.0,0.0,3.0,1982
Aero Commander,681,Cruise,0.0,0.0,0.0,3.0,1982
De Havilland,BEAVER U-64,Takeoff,0.0,0.0,1.0,0.0,1982
Cessna,150,Takeoff,0.0,0.0,0.0,2.0,1982
Cessna,T210N,Descent,0.0,0.0,1.0,1.0,1982
Piper,PA-18,Takeoff,0.0,0.0,0.0,2.0,1982
Cessna,31,Landing,0.0,0.0,0.0,5.0,1982
Mooney,M20E,Takeoff,0.0,0.0,1.0,1.0,1982
Piper,PA-31T,Landing,0.0,0.0,0.0,4.0,1982
Mitsubishi,MU-2B-25,Takeoff,6.0,0.0,0.0,0.0,1982
Cessna,P210N,Cruise,0.0,0.0,0.0,1.0,1982
Cessna,172RG,Descent,0.0,0.0,0.0,4.0,1982
Grumman,AA-5B,Landing,0.0,0.0,0.0,1.0,1982
Cessna,180K,Landing,0.0,0.0,0.0,2.0,1982
Piper,PA-34-22OT,Takeoff,0.0,0.0,0.0,2.0,1982
Piper,PA-23-250,Taxi,0.0,0.0,0.0,4.0,1982
Piper,PA-28R-200,Approach,0.0,0.0,0.0,1.0,1982
Mooney,M20E,Cruise,0.0,0.0,2.0,0.0,1982
Beech,C33,Landing,0.0,0.0,0.0,1.0,1982
Piper,PA-32R-301T,Cruise,1.0,0.0,0.0,0.0,1982
Cessna,421B,Approach,1.0,0.0,0.0,0.0,1982
Cessna,340A,Go-around,1.0,0.0,0.0,0.0,1982
Bell,206L-1,Landing,0.0,0.0,3.0,0.0,1982
Aero Commander,520,Climb,3.0,0.0,0.0,0.0,1982
Piper,PA-23-250,Cruise,0.0,1.0,0.0,0.0,1982
Mooney,M-20K,Descent,1.0,0.0,0.0,0.0,1982
Beech,C45H,Cruise,0.0,0.0,0.0,3.0,1982
Fairchild,C-82A,Approach,0.0,0.0,0.0,2.0,1982
Piper,PA32RT-300,Takeoff,0.0,0.0,0.0,1.0,1982
Piper,PA-32-301,Landing,0.0,0.0,0.0,2.0,1982
Beech,35-C33,Landing,0.0,0.0,0.0,4.0,1982
Piper,PA-32-300,Taxi,0.0,0.0,0.0,1.0,1982
Hughes,TH-55A,Takeoff,0.0,0.0,0.0,2.0,1982
Cessna,206,Takeoff,0.0,0.0,0.0,1.0,1982
Beech,S35,Taxi,0.0,0.0,0.0,1.0,1982
Piper,PA-32-300,Unknown,2.0,0.0,0.0,0.0,1982
Cessna,340,Takeoff,0.0,0.0,0.0,1.0,1982
Cessna,182,Landing,0.0,0.0,0.0,1.0,1982
Cessna,R182,Cruise,1.0,2.0,0.0,0.0,1982
Cessna,310C,Approach,0.0,0.0,1.0,0.0,1982
Maule,M-5-210C,Landing,0.0,0.0,0.0,1.0,1982
Cessna,402B,Taxi,0.0,0.0,0.0,2.0,1982
Cessna,172G,Cruise,1.0,0.0,1.0,0.0,1982
Piper,PA-31P,Approach,4.0,0.0,0.0,0.0,1982
Ted Smith,601P,Maneuvering,1.0,0.0,0.0,0.0,1982
Piper,PA-31-350,Takeoff,3.0,0.0,0.0,0.0,1982
Piper,PA-34-200T,Cruise,4.0,0.0,0.0,0.0,1982
Cessna,P210N,Climb,4.0,0.0,0.0,0.0,1982
Cessna,210E,Climb,0.0,0.0,0.0,3.0,1982
Beech,50,Takeoff,0.0,0.0,0.0,1.0,1982
Cessna,182D,Takeoff,0.0,0.0,0.0,1.0,1982
Aerospatiale,S350D,Cruise,2.0,0.0,0.0,0.0,1982
Piper,PA-24-260,Cruise,0.0,0.0,0.0,1.0,1982
Beech,A36,Approach,0.0,0.0,0.0,1.0,1982
Cessna,R172K,Cruise,2.0,0.0,0.0,0.0,1982
Cessna,340A,Cruise,1.0,0.0,0.0,0.0,1982
Piper,PA-28-140,Cruise,0.0,0.0,0.0,1.0,1982
Cessna,170B,Maneuvering,0.0,1.0,0.0,1.0,1982
Cessna,551,Takeoff,3.0,0.0,0.0,0.0,1982
Piper,601P,Approach,0.0,1.0,0.0,0.0,1982
Piper,PA-44-180,Takeoff,1.0,0.0,0.0,0.0,1982
Cessna,337,Landing,0.0,0.0,0.0,2.0,1982
Bell,47D1,Cruise,0.0,0.0,0.0,2.0,1982
Robinson,R-22,Takeoff,0.0,0.0,0.0,2.0,1982
Piper,PA-34,Cruise,2.0,0.0,0.0,0.0,1982
Beech,C23,Maneuvering,2.0,0.0,0.0,0.0,1982
Piper,PA-18-150,Landing,0.0,0.0,1.0,0.0,1982
Piper,PA-34-200T,Takeoff,0.0,0.0,0.0,3.0,1982
Beech,C23,Cruise,0.0,0.0,1.0,0.0,1982
Piper,32RT-300T,Takeoff,0.0,1.0,0.0,0.0,1982
Beech,58,Takeoff,0.0,0.0,0.0,1.0,1982
Enstrom,F-28A,Maneuvering,0.0,0.0,1.0,2.0,1982
Bell,206B,Cruise,2.0,0.0,0.0,0.0,1982
Cessna,551,Climb,0.0,0.0,0.0,1.0,1982
Cessna,421B,Go-around,4.0,0.0,0.0,0.0,1982
Mitsubishi,MU-2,Landing,0.0,0.0,0.0,2.0,1982
Mitsubishi,MU-2B-20,Maneuvering,0.0,0.0,1.0,4.0,1982
S.n.i.a.s.,AS350D,Landing,0.0,1.0,1.0,0.0,1982
Piper,PA-32R-301,Takeoff,0.0,1.0,0.0,0.0,1982
Bell,214B,Unknown,2.0,0.0,0.0,0.0,1982
Cessna,310R,Cruise,0.0,0.0,0.0,1.0,1982
Piper,PA-23-250,Takeoff,0.0,0.0,1.0,0.0,1982
Cessna,421B,Landing,0.0,0.0,0.0,6.0,1982
Cessna,182,Takeoff,0.0,0.0,0.0,3.0,1982
Cessna,T337G,Taxi,0.0,0.0,0.0,1.0,1982
Cessna,T210M,Cruise,1.0,0.0,0.0,0.0,1982
Beech,A36,Takeoff,0.0,0.0,0.0,2.0,1983
Cessna,T303,Climb,5.0,0.0,0.0,0.0,1983
Piper,AEROSTAR 602P,Approach,1.0,0.0,0.0,0.0,1983
Piper,PA-28-161,Approach,0.0,0.0,0.0,1.0,1983
Cessna,P210N,Cruise,0.0,0.0,0.0,5.0,1983
Beech,200,Cruise,0.0,0.0,0.0,2.0,1983
Bellanca,17-30A,Go-around,0.0,0.0,0.0,1.0,1983
Cessna,180K,Landing,0.0,0.0,0.0,2.0,1983
Cessna,182M,Approach,0.0,0.0,0.0,1.0,1983
Cessna,172XP,Go-around,0.0,0.0,0.0,1.0,1983
Piper,PA-28-140,Cruise,3.0,0.0,0.0,0.0,1983
Cessna,A185F,Approach,3.0,0.0,0.0,0.0,1983
Mitsubishi,MU-2B-30,Landing,0.0,0.0,0.0,2.0,1983
Beech,95-C55,Landing,0.0,0.0,0.0,2.0,1983
Bell,206L-3,Cruise,2.0,0.0,0.0,0.0,1983
Beech,E18-S,Landing,0.0,0.0,0.0,2.0,1983
Beech,D55,Approach,0.0,0.0,0.0,1.0,1983
Robinson,R22,Standing,0.0,0.0,0.0,2.0,1983
Beech,M35,Standing,0.0,1.0,0.0,0.0,1983
Aero Commander,680FL P,Cruise,2.0,0.0,0.0,0.0,1983
Maule,M-5-220C,Cruise,0.0,1.0,3.0,0.0,1983
Mitsubishi,MU-2B-36,Landing,0.0,0.0,0.0,7.0,1983
Beech,58,Cruise,2.0,0.0,0.0,0.0,1983
Cessna,550,Takeoff,0.0,0.0,0.0,8.0,1983
Gates Learjet,LR24DXR,Landing,0.0,0.0,0.0,3.0,1983
Cessna,550,Taxi,0.0,0.0,0.0,8.0,1983
Navion,G,Cruise,2.0,0.0,0.0,0.0,1983
Cessna,T210M,Climb,0.0,0.0,0.0,3.0,1983
Cessna,TR182,Cruise,2.0,0.0,0.0,0.0,1983
Piper,PA-28R-200,Approach,0.0,2.0,0.0,0.0,1983
Cessna,R182,Landing,0.0,0.0,0.0,1.0,1983
Cessna,182Q,Go-around,0.0,0.0,1.0,2.0,1983
Swearingen,SA-26T,Landing,0.0,0.0,0.0,1.0,1983
Piper,PA-23-250,Takeoff,1.0,0.0,0.0,0.0,1983
Piper,PA-28R-200,Landing,0.0,0.0,0.0,2.0,1983
Piper,PA-44-180T,Go-around,0.0,1.0,2.0,0.0,1983
Cessna,172RG,Landing,0.0,0.0,0.0,1.0,1983
Cessna,150G,Takeoff,0.0,0.0,0.0,1.0,1983
Beech,V35A,Approach,0.0,2.0,2.0,0.0,1983
Piper,PA-31P,Approach,0.0,0.0,0.0,2.0,1983
Piper,PA-24-180,Descent,3.0,0.0,0.0,0.0,1983
Cessna,180J,Cruise,1.0,0.0,0.0,0.0,1983
Cessna,P-206C,Go-around,3.0,0.0,0.0,0.0,1983
Bell,BH 206-L111,Takeoff,0.0,0.0,0.0,5.0,1983
Mooney,M20F,Cruise,0.0,0.0,1.0,0.0,1983
Douglas,DC-6A,Taxi,0.0,0.0,0.0,3.0,1983
Piper,PA-34-200,Approach,0.0,0.0,0.0,3.0,1983
Raven,RX-7,Climb,0.0,0.0,0.0,5.0,1983
Piper,PA-28-181,Takeoff,0.0,1.0,1.0,0.0,1983
Cessna,182G,Cruise,0.0,0.0,0.0,2.0,1983
Beech,C-23,Landing,0.0,0.0,0.0,2.0,1983
Cessna,401,Cruise,0.0,0.0,0.0,6.0,1983
Cessna,310C,Takeoff,0.0,0.0,1.0,1.0,1983
Bellanca,8KCAB,Approach,0.0,0.0,0.0,1.0,1983
Cessna,C-150L,Landing,0.0,0.0,0.0,1.0,1983
Grumman American,AA-1B,Climb,0.0,0.0,2.0,0.0,1983
Piper,PA-601P,Landing,0.0,0.0,0.0,1.0,1983
Piper,PA-22-150,Other,0.0,0.0,0.0,4.0,1983
Beech,35-C33,Cruise,0.0,0.0,0.0,3.0,1983
Piper,PA-31T1,Landing,0.0,0.0,0.0,3.0,1983
Cessna,182,Landing,0.0,0.0,0.0,2.0,1983
Piper,PA-32R-300,Descent,1.0,0.0,0.0,0.0,1983
Mooney,M20F,Taxi,0.0,0.0,0.0,2.0,1983
Cessna,182,Cruise,0.0,2.0,0.0,0.0,1983
Cessna,U206G,Takeoff,0.0,2.0,0.0,1.0,1983
Piper,PA-24-400,Cruise,1.0,0.0,0.0,0.0,1983
Cessna,210C,Taxi,0.0,0.0,0.0,2.0,1983
Mooney,M20-K,Landing,0.0,0.0,0.0,2.0,1983
Cessna,182RG,Descent,0.0,0.0,0.0,4.0,1983
Beech,A56TC,Landing,0.0,0.0,0.0,3.0,1983
Bell,47G2,Landing,0.0,1.0,1.0,0.0,1983
Cessna,195A,Taxi,0.0,0.0,0.0,5.0,1983
"Anderson, Greenwood",51,Taxi,0.0,0.0,0.0,1.0,1983
Cessna,T310R,Approach,1.0,0.0,0.0,0.0,1983
Piper,PA-60-601P,Landing,0.0,0.0,0.0,2.0,1983
Cessna,182,Cruise,1.0,0.0,0.0,0.0,1983
Britten-norman,BN-2A-8,Cruise,2.0,1.0,0.0,0.0,1983
Piper,PA-32RT-300,Cruise,6.0,0.0,0.0,0.0,1983
Piper,PA32-300,Landing,6.0,0.0,0.0,0.0,1983
Cessna,172 I,Approach,0.0,0.0,0.0,2.0,1983
Cessna,U-206,Takeoff,0.0,0.0,0.0,1.0,1983
Cessna,182K,Approach,0.0,0.0,1.0,1.0,1983
Cessna,210K,Approach,0.0,0.0,1.0,0.0,1983
Cessna,182P,Approach,0.0,2.0,0.0,0.0,1983
Piper,PA18-150,Maneuvering,0.0,1.0,0.0,1.0,1983
Piper,PA-28R-180,Takeoff,0.0,1.0,1.0,0.0,1983
Piper,PA-32-300,Cruise,1.0,0.0,0.0,0.0,1983
Piper,PA-28-201T,Landing,0.0,0.0,0.0,3.0,1983
Hiller,12-E,Landing,0.0,0.0,0.0,3.0,1983
Cessna,172N,Takeoff,0.0,0.0,2.0,0.0,1983
Mooney,M20K,Climb,0.0,0.0,0.0,4.0,1983
Cessna,C-185F,Takeoff,0.0,0.0,0.0,1.0,1983
Piper,PA-23-250,Landing,0.0,0.0,1.0,0.0,1983
Cessna,182H,Landing,0.0,0.0,0.0,3.0,1983
Hiller,FH-1100,Cruise,2.0,0.0,0.0,0.0,1983
Beech,A36,Approach,3.0,0.0,0.0,0.0,1983
Cessna,340,Approach,3.0,0.0,0.0,0.0,1983
Cessna,CE-500,Takeoff,0.0,0.0,2.0,3.0,1983
Cessna,150C,Takeoff,0.0,0.0,2.0,0.0,1983
Hughes,269B,Landing,0.0,0.0,0.0,1.0,1983
Cessna,U206,Landing,0.0,0.0,0.0,2.0,1983
Hughes,500D,Maneuvering,0.0,0.0,0.0,3.0,1983
Piper,PA-28-151,Descent,0.0,0.0,0.0,1.0,1983
Beech,B-60,Taxi,0.0,0.0,0.0,2.0,1983
Beech,E33,Approach,0.0,0.0,0.0,4.0,1983
Beech,C-50,Cruise,0.0,0.0,1.0,1.0,1983
Piper,PA-31-350,Approach,0.0,0.0,3.0,0.0,1983
Cessna,421B,Approach,0.0,0.0,0.0,1.0,1983
Cessna,180K,Taxi,0.0,0.0,0.0,1.0,1983
Cessna,182R,Takeoff,4.0,0.0,0.0,0.0,1983
Beech,58,Landing,0.0,0.0,0.0,3.0,1983
Mooney,M-20-J-201,Cruise,1.0,0.0,0.0,0.0,1983
Piper,PA-32-260,Go-around,0.0,0.0,0.0,3.0,1983
Piper,PA-28R,Cruise,1.0,0.0,0.0,0.0,1983
Piper,PA-18-150,Approach,0.0,0.0,0.0,2.0,1983
Beech,BE60,Climb,0.0,0.0,0.0,3.0,1983
Cessna,172P,Cruise,2.0,0.0,0.0,0.0,1983
Piper,PA18-150,Landing,0.0,0.0,0.0,1.0,1983
Enstrom,280C,Cruise,0.0,0.0,1.0,1.0,1983
Fairchild Hiller,FH-1100,Takeoff,0.0,0.0,0.0,4.0,1983
Cessna,195,Approach,0.0,0.0,0.0,1.0,1983
Cessna,180B,Takeoff,0.0,0.0,0.0,2.0,1983
Ultralight Engineering,ASTRA HS,Approach,1.0,0.0,0.0,0.0,1983
Cessna,TU206,Landing,0.0,0.0,0.0,1.0,1983
